,country
103,Afghanistan
125,Albania
82,Algeria
9,Argentina
109,Armenia
137,Australia
114,Austria
145,Azerbaijan
,Bahrain
99,Bangladesh
111,Belarus
129,Belgium
54,Benin
30,Bolivia
170,Bosnia and Herzegovina
49,Botswana
29,Brazil
122,Bulgaria
65,Burkina Faso
75,Burundi
90,Cambodia
57,Cameroon
3,Canada
15,Chad
10,Chile
139,China
32,Colombia
,Comoros
67,Congo (Brazzaville)
34,Costa Rica
126,Croatia
161,Cyprus
153,Czech Republic
142,Denmark
17,Dominican Republic
44,Ecuador
163,Egypt
37,El Salvador
120,Estonia
165,Ethiopia
151,Finland
43,France
68,Gabon
80,Gambia
146,Georgia
121,Germany
59,Ghana
123,Greece
38,Guatemala
61,Guinea
16,Haiti
36,Honduras
,Hong Kong S.A.R. of China
115,Hungary
144,Iceland
98,India
8,Indonesia
107,Iran
87,Iraq
133,Ireland
76,Israel
141,Italy
60,Ivory Coast
46,Jamaica
155,Japan
83,Jordan
5,Kazakhstan
13,Kenya
174,Kosovo
86,Kuwait
105,Kyrgyzstan
92,Laos
119,Latvia
77,Lebanon
26,Lesotho
63,Liberia
164,Libya
118,Lithuania
128,Luxembourg
78,Madagascar
71,Malawi
148,Malaysia
,Maldives
52,Mali
,Malta
53,Mauritania
,Mauritius
27,Mexico
116,Moldova
97,Mongolia
173,Montenegro
162,Morocco
72,Mozambique
93,Myanmar
50,Namibia
101,Nepal
130,Netherlands
136,New Zealand
35,Nicaragua
55,Niger
56,Nigeria
160,North Cyprus
,North Macedonia
21,Norway
102,Pakistan
79,Palestinian Territories
33,Panama
156,Paraguay
31,Peru
147,Philippines
113,Poland
131,Portugal
117,Romania
18,Russia
169,Rwanda
158,Saudi Arabia
51,Senegal
172,Serbia
64,Sierra Leone
,Singapore
152,Slovakia
150,Slovenia
25,South Africa
96,South Korea
132,Spain
138,Sri Lanka
,Swaziland
110,Sweden
127,Switzerland
140,Taiwan Province of China
104,Tajikistan
1,Tanzania
91,Thailand
58,Togo
81,Tunisia
124,Turkey
106,Turkmenistan
168,Uganda
112,Ukraine
84,United Arab Emirates
143,United Kingdom
4,United States
28,Uruguay
6,Uzbekistan
40,Venezuela
94,Vietnam
157,Yemen
70,Zambia
48,Zimbabwe